575//4014	14.324862979571499%	93,320,381
363//4006	9.061407888167748%	93,320,329
215//4006	5.3669495756365455%	96,155,381
13//3980	0.32663316582914576%	63,329
30//3969	0.7558578987150416%	141,361
242//3949	6.128133704735376%	141,381
218//3940	5.532994923857868%	97,155,361,381,329
364//3938	9.243270695784663%	45,320
10//3914	0.2554931016862545%	72,361
222//3894	5.701078582434515%	72,381
10//3886	0.2573340195573855%	72,329
219//3862	5.67063697566028%	93,381,329
359//3824	9.388075313807532%	96,320
221//3818	5.7883708748035625%	140,381
363//3802	9.547606522882694%	93,320
3//3794	0.0790722192936215%	96,155
218//3736	5.835117773019272%	97,155,361,381
6//3728	0.1609442060085837%	97,155,361,329
218//3708	5.879180151024811%	97,155,381,329
215//3680	5.842391304347826%	96,381
5//3665	0.1364256480218281%	128,361
219//3658	5.986878075451066%	93,381
7//3650	0.1917808219178082%	93,329
218//3614	6.032097399003874%	97,361,381,329
363//3557	10.205229125667698%	104,320
225//3540	6.3559322033898304%	145,155,381,329
6//3524	0.170261066969353%	97,155,361
219//3510	6.239316239316239%	196,381
218//3504	6.2214611872146115%	97,155,381
6//3496	0.17162471395881007%	97,155,329
9//3431	0.2623141941125036%	123,361
218//3410	6.392961876832844%	97,361,381
6//3402	0.1763668430335097%	97,361,329
218//3382	6.44589000591366%	97,381,329
221//3363	6.571513529586679%	78,381,329
574//3362	17.073170731707318%	192,320,155,381
225//3336	6.744604316546763%	145,155,381
571//3330	17.147147147147148%	176,320,155,361,381,329
13//3328	0.390625%	145,155,329
6//3292	0.1822600243013366%	97,155
358//3285	10.898021308980214%	154,320,329
7//3248	0.21551724137931033%	65,155,361,329
225//3214	7.000622277535781%	145,381,329
6//3198	0.18761726078799248%	97,361
218//3178	6.8596601636249215%	97,381
6//3170	0.1892744479495268%	97,329
221//3159	6.995884773662551%	78,381
9//3151	0.2856236115518883%	78,329
362//3150	11.492063492063492%	192,320,155
571//3126	18.266154830454255%	176,320,155,361,381
13//3124	0.41613316261203587%	145,155
359//3118	11.513790891597179%	176,320,155,361,329
571//3098	18.4312459651388%	176,320,155,381,329
358//3081	11.619604024667316%	154,320
221//3062	7.217504898758981%	12,361,381,329
368//3056	12.041884816753926%	83,320,361,329
2292//3054	75.049115913556%	56,320,155,361,381,329
7//3044	0.22996057818659657%	65,155,361
362//3042	11.900065746219592%	64,320,361,329
571//3039	18.78907535373478%	105,320,155,361,381
574//3036	18.9064558629776%	192,320,381
217//3033	7.154632377184306%	76,155,381
10//3023	0.33079722130334105%	131,329
7//3016	0.23209549071618038%	65,155,329
215//3015	7.131011608623549%	47,155,361,381
569//3015	18.872305140961856%	102,320,155,361,381,329
225//3010	7.475083056478406%	145,381
218//3006	7.252162341982701%	192,155,381
571//3004	19.00798934753662%	176,320,361,381,329
13//3002	0.4330446369087275%	145,329
215//2974	7.22932078009415%	176,155,361,381,329
2//2929	0.06828269033799932%	154,329
7//2922	0.23956194387405885%	65,361,329
359//2914	12.319835277968428%	176,320,155,361
569//2906	19.580178940123883%	223,320,155,361,381,329
571//2894	19.730476848652383%	176,320,155,381
359//2886	12.439362439362439%	176,320,155,329
8//2865	0.2792321116928447%	124,361
221//2858	7.732680195941217%	12,361,381
368//2852	12.903225806451612%	83,320,361
9//2850	0.3157894736842105%	12,361,329
2292//2850	80.42105263157895%	56,320,155,361,381
2080//2842	73.18789584799437%	56,320,155,361,329
397//2841	13.973952833509328%	3,320,155,361,329
362//2838	12.755461592670896%	64,320,361
221//2830	7.809187279151944%	12,381,329
359//2827	12.6989741775734%	105,320,155,361
362//2824	12.818696883852692%	192,320
368//2824	13.031161473087819%	83,320,329
2292//2822	81.21899362154501%	56,320,155,381,329
5//2821	0.1772421127259837%	76,155
7//2812	0.24893314366998578%	65,155
569//2811	20.24190679473497%	102,320,155,361,381
362//2810	12.882562277580071%	64,320,329
571//2807	20.342002137513358%	105,320,155,381
224//2806	7.982893799002138%	20,361,381
3//2803	0.10702818408847663%	47,155,361
357//2803	12.73635390652872%	102,320,155,361,329
571//2800	20.392857142857142%	176,320,361,381
6//2794	0.2147458840372226%	192,155
359//2792	12.858166189111747%	176,320,361,329
215//2783	7.725476104922746%	47,155,381
569//2783	20.445562342795544%	102,320,155,381,329
570//2775	20.54054054054054%	198,320,155,381,329
364//2773	13.126577713667508%	122,320,361
571//2772	20.5988455988456%	176,320,381,329
215//2770	7.76173285198556%	176,155,361,381
223//2769	8.05344889851932%	169,155,361,381,329
3//2762	0.10861694424330195%	176,155,361,329
7//2745	0.2550091074681239%	151,329
10//2745	0.36429872495446264%	132,155,329
218//2743	7.947502734232592%	99,155,381,329
215//2742	7.840991976659373%	176,155,381,329
2292//2728	84.01759530791789%	56,320,361,381,329
573//2719	21.073924236851784%	107,320,361,381,329
7//2718	0.257542310522443%	65,361
220//2715	8.103130755064457%	187,155,381,329
571//2713	21.046811647622558%	105,320,361,381
217//2707	8.016254155892131%	76,381
15//2706	0.5543237250554324%	5,155,361,329
569//2702	21.058475203552923%	223,320,155,361,381
12//2700	0.4444444444444444%	83,361,329
1936//2698	71.75685693106004%	56,155,361,381,329
357//2694	13.251670378619155%	223,320,155,361,329
7//2690	0.26022304832713755%	65,329
215//2689	7.9955373744886575%	47,361,381
569//2689	21.160282632949052%	102,320,361,381,329
6//2686	0.22338049143708116%	64,361,329
215//2683	8.013417815877748%	105,155,361,381
359//2682	13.385533184190903%	176,320,155
569//2681	21.22342409548676%	235,320,155,381,329
218//2680	8.134328358208956%	192,381
569//2674	21.278982797307403%	223,320,155,381,329
577//2670	21.61048689138577%	147,320,361,381,329
213//2659	8.0105302745393%	102,155,361,381,329
